
0/354688 [00:00<? ?it/s] wheel.py:111: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  label = torch.tensor(batch.label, dtype=torch.long, device=self.device)

0/354688 [00:04<? ?it/s]  0 loss: 0.26829, acc: 0.35938: 
0/354688 [00:10<? ?it/s]  0 loss: 0.26829, acc: 0.35938: 
320/354688 [00:10<3:18:20 29.78it/s]  0 loss: 0.26829, acc: 0.35938: 
4096/354688 [01:10<1:27:29 66.78it/s]  0 loss: 0.18657, acc: 0.73258: 
4160/354688 [01:11<1:29:27 65.31it/s]  0 loss: 0.18657, acc: 0.73258: 
4224/354688 [01:12<1:30:06 64.83it/s]  0 loss: 0.18657, acc: 0.73258: 
4288/354688 [01:13<1:39:25 58.73it/s]  0 loss: 0.18657, acc: 0.73258: 
4352/354688 [01:14<1:28:17 66.14it/s]  0 loss: 0.18657, acc: 0.73258: 
4416/354688 [01:15<1:40:50 57.89it/s]  0 loss: 0.18657, acc: 0.73258: 
4480/354688 [01:16<1:39:21 58.74it/s]  0 loss: 0.18657, acc: 0.73258: 
4480/354688 [01:17<1:39:21 58.74it/s]  0 loss: 0.18597, acc: 0.73482: 
4544/354688 [01:17<1:30:08 64.74it/s]  0 loss: 0.18597, acc: 0.73482: 
4608/354688 [01:18<1:23:14 70.09it/s]  0 loss: 0.18597, acc: 0.73482: 
4672/354688 [01:19<1:25:02 68.60it/s]  0 loss: 0.18597, acc: 0.73482: 
4736/354688 [01:20<1:38:13 59.38it/s]  0 loss: 0.18597, acc: 0.73482: 
4800/354688 [01:22<1:42:07 57.10it/s]  0 loss: 0.18597, acc: 0.73482: 
4864/354688 [01:22<1:28:07 66.16it/s]  0 loss: 0.18597, acc: 0.73482: 
4928/354688 [01:23<1:17:44 74.99it/s]  0 loss: 0.18597, acc: 0.73482: 
4992/354688 [01:24<1:20:12 72.66it/s]  0 loss: 0.18597, acc: 0.73482: 
5056/354688 [01:25<1:18:37 74.12it/s]  0 loss: 0.18597, acc: 0.73482: 
5120/354688 [01:25<1:17:58 74.72it/s]  0 loss: 0.18597, acc: 0.73482: 
5120/354688 [01:26<1:17:58 74.72it/s]  0 loss: 0.18379, acc: 0.73515: 
5184/354688 [01:26<1:20:10 72.66it/s]  0 loss: 0.18379, acc: 0.73515: 
5248/354688 [01:27<1:20:06 72.70it/s]  0 loss: 0.18379, acc: 0.73515: 
5312/354688 [01:29<1:34:38 61.52it/s]  0 loss: 0.18379, acc: 0.73515: 
