
0/354688 [00:00<? ?it/s] wheel.py:111: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  label = torch.tensor(batch.label, dtype=torch.long, device=self.device)

0/354688 [00:05<? ?it/s]  0 loss: 0.25067, acc: 0.4375: 
0/354688 [00:10<? ?it/s]  0 loss: 0.25067, acc: 0.4375: 
256/354688 [00:10<4:11:44 23.46it/s]  0 loss: 0.25067, acc: 0.4375: 
4032/354688 [01:12<1:24:47 68.92it/s]  0 loss: 0.21612, acc: 0.66086: 
4096/354688 [01:13<1:26:12 67.78it/s]  0 loss: 0.21612, acc: 0.66086: 
4160/354688 [01:14<1:27:10 67.02it/s]  0 loss: 0.21612, acc: 0.66086: 
4224/354688 [01:15<1:28:27 66.03it/s]  0 loss: 0.21612, acc: 0.66086: 
4288/354688 [01:16<1:29:06 65.54it/s]  0 loss: 0.21612, acc: 0.66086: 
4352/354688 [01:17<1:27:15 66.92it/s]  0 loss: 0.21612, acc: 0.66086: 
4416/354688 [01:18<1:13:47 79.11it/s]  0 loss: 0.21612, acc: 0.66086: 
4480/354688 [01:18<1:11:16 81.88it/s]  0 loss: 0.21612, acc: 0.66086: 
4480/354688 [01:19<1:11:16 81.88it/s]  0 loss: 0.21201, acc: 0.66967: 
4544/354688 [01:19<1:16:11 76.60it/s]  0 loss: 0.21201, acc: 0.66967: 
4608/354688 [01:20<1:20:21 72.61it/s]  0 loss: 0.21201, acc: 0.66967: 
4672/354688 [01:21<1:17:48 74.98it/s]  0 loss: 0.21201, acc: 0.66967: 
4736/354688 [01:22<1:22:17 70.88it/s]  0 loss: 0.21201, acc: 0.66967: 
4800/354688 [01:23<1:24:24 69.09it/s]  0 loss: 0.21201, acc: 0.66967: 
4864/354688 [01:24<1:26:03 67.75it/s]  0 loss: 0.21201, acc: 0.66967: 
4928/354688 [01:25<1:33:45 62.18it/s]  0 loss: 0.21201, acc: 0.66967: 
4992/354688 [01:27<1:43:29 56.32it/s]  0 loss: 0.21201, acc: 0.66967: 
5056/354688 [01:28<1:41:31 57.40it/s]  0 loss: 0.21201, acc: 0.66967: 
5120/354688 [01:28<1:27:43 66.42it/s]  0 loss: 0.21201, acc: 0.66967: 
5120/354688 [01:29<1:27:43 66.42it/s]  0 loss: 0.20922, acc: 0.67554: 
5184/354688 [01:29<1:20:01 72.79it/s]  0 loss: 0.20922, acc: 0.67554: 
5248/354688 [01:30<1:30:56 64.04it/s]  0 loss: 0.20922, acc: 0.67554: 
5312/354688 [01:32<1:37:50 59.52it/s]  0 loss: 0.20922, acc: 0.67554: 
5376/354688 [01:33<1:42:46 56.65it/s]  0 loss: 0.20922, acc: 0.67554: 
5440/354688 [01:34<1:41:52 57.14it/s]  0 loss: 0.20922, acc: 0.67554: 
5504/354688 [01:35<1:38:37 59.01it/s]  0 loss: 0.20922, acc: 0.67554: 
5568/354688 [01:36<1:33:40 62.12it/s]  0 loss: 0.20922, acc: 0.67554: 
5632/354688 [01:37<1:30:29 64.29it/s]  0 loss: 0.20922, acc: 0.67554: 
5696/354688 [01:37<1:24:46 68.62it/s]  0 loss: 0.20922, acc: 0.67554: 
5760/354688 [01:38<1:26:07 67.52it/s]  0 loss: 0.20922, acc: 0.67554: 
5760/354688 [01:39<1:26:07 67.52it/s]  0 loss: 0.20629, acc: 0.68098: 
5824/354688 [01:39<1:26:39 67.10it/s]  0 loss: 0.20629, acc: 0.68098: 
5888/354688 [01:40<1:29:26 65.00it/s]  0 loss: 0.20629, acc: 0.68098: 
5952/354688 [01:41<1:23:44 69.40it/s]  0 loss: 0.20629, acc: 0.68098: 
6016/354688 [01:42<1:25:54 67.65it/s]  0 loss: 0.20629, acc: 0.68098: 
6080/354688 [01:43<1:27:11 66.63it/s]  0 loss: 0.20629, acc: 0.68098: 
6144/354688 [01:44<1:27:58 66.03it/s]  0 loss: 0.20629, acc: 0.68098: 
6208/354688 [01:45<1:16:56 75.49it/s]  0 loss: 0.20629, acc: 0.68098: 
6272/354688 [01:46<1:21:08 71.57it/s]  0 loss: 0.20629, acc: 0.68098: 
6336/354688 [01:47<1:24:35 68.63it/s]  0 loss: 0.20629, acc: 0.68098: 
6400/354688 [01:48<1:24:28 68.72it/s]  0 loss: 0.20629, acc: 0.68098: 
6400/354688 [01:49<1:24:28 68.72it/s]  0 loss: 0.20276, acc: 0.68936: 
6464/354688 [01:49<1:26:50 66.84it/s]  0 loss: 0.20276, acc: 0.68936: 
6528/354688 [01:50<1:47:42 53.88it/s]  0 loss: 0.20276, acc: 0.68936: 
6592/354688 [01:52<1:50:45 52.38it/s]  0 loss: 0.20276, acc: 0.68936: 
6656/354688 [01:53<1:40:09 57.92it/s]  0 loss: 0.20276, acc: 0.68936: 
6720/354688 [01:54<1:37:30 59.47it/s]  0 loss: 0.20276, acc: 0.68936: 
6784/354688 [01:55<1:37:03 59.74it/s]  0 loss: 0.20276, acc: 0.68936: 
6848/354688 [01:56<1:35:06 60.95it/s]  0 loss: 0.20276, acc: 0.68936: 
6912/354688 [01:57<1:30:13 64.25it/s]  0 loss: 0.20276, acc: 0.68936: 
6976/354688 [01:58<1:31:21 63.44it/s]  0 loss: 0.20276, acc: 0.68936: 
7040/354688 [01:59<1:30:05 64.32it/s]  0 loss: 0.20276, acc: 0.68936: 
7040/354688 [02:00<1:30:05 64.32it/s]  0 loss: 0.19943, acc: 0.69552: 
7104/354688 [02:00<1:30:14 64.19it/s]  0 loss: 0.19943, acc: 0.69552: 
7168/354688 [02:01<1:30:09 64.24it/s]  0 loss: 0.19943, acc: 0.69552: 
7232/354688 [02:02<1:28:59 65.08it/s]  0 loss: 0.19943, acc: 0.69552: 
7296/354688 [02:02<1:20:24 72.00it/s]  0 loss: 0.19943, acc: 0.69552: 
7360/354688 [02:03<1:23:05 69.67it/s]  0 loss: 0.19943, acc: 0.69552: 
